title,description,country,year,important,keywords,link,image
Caucasian War,"The Caucasian War was a 19th century military conflict between the Russian Empire and various peoples of the North Caucasus who resisted subjugation during the Russian conquest of the Caucasus. It consisted of a series of military actions waged by the Russian Imperial Army and Cossack settlers against the native inhabitants such as the Adyghe, Abaza–Abkhaz, Ubykhs, Chechens, and Dagestanis as the Tsars sought to expand. The conflict officially lasted from 1817 until 1864.",Russia,1817,no,,,
Foundation of Welfare Union,"The Welfare Union was formed on the bases of the Union of Salvation in 1818 and consisted of Decembrists, participants of the Russian anti-government armed movement, who organized the uprising on Senate Square in St. Petersburg in December of 1825.",Russia,1818,no,,,
Discovery of Antarctica (First Russian Antarctic Expedition),"The First Russian Antarctic Expedition took place in 1819–1821 under the direction of Fabian Bellingshausen and Mikhail Lazarev. The expedition aimed to reach the Southern Ocean in order to prove or disprove the existence of a suspected seventh continent, Antarctica. The sloop Vostok was under the command of Bellingshausen, while Lazarev commanded the sloop Mirny. Overall, the crew consisted of 190 people.",Russia,1819,yes,,,
Invention of monorail,"The first monorail prototype was made in Russia in 1820 by Ivan Elmanov. Attempts at creating monorail alternatives to conventional railways have been made since the early part of the 19th century. Elmanov’s monorail prototype, called The Road on Poles, was a carriage pulled by horses along wooden beams mounted on poles.",Russia,1820,no,,,
Congress of Laibach,"The Congress of Laibach was a conference of the members of the Holy Alliance (including Russia), held in 1821 as part of the Congress System which was the decided attempt of the five Great Powers to settle international problems after the Napoleonic Wars through discussion and collective weight rather than on the battlefield. A result of the Congress was the authorization of Austrian intervention in the Kingdom of the Two Sicilies in order to quell a liberal uprising.",Russia,1821,no,,,
Rescript for the Prohibition of Secret Societies,"The ban on Masonic lodges in Russia in the early 19th century was a response to their increasing influence and potential threat to the state. Freemasonry had flourished in Russia since the appointment of John Philips as provincial Grand Master in 1731. The Grand Lodge of Astraea, established in 1815, became an independent fraternal organization recognized by other European Grand Lodges. However, as Masonic activities shifted towards politics and the state struggled to supervise them, authorities grew concerned. Similar bans had been imposed in other European countries. The formation of military camp lodges within Masonic circles, particularly involving young officers, raised alarm as they became influential political and secret military organizations, eventually playing a role in the Decembrist movement. Emperor Alexander I initially tolerated Masonic activity, but as their influence grew, he imposed restrictions to maintain control over parallel power structures.",Russia,1822,no,,,
Establishment of Society of United Slavs,"The Society of United Slavs was a secret anti-state pan-Slavic organization of the Decembrists, participants of the Russian anti-government armed movement, who organized the uprising on Senate Square in St. Petersburg in December of 1825.",Russia,1823,no,,,
Russo-American Treaty of 1824,"The Russo-American Treaty of 1824 (also known as the Convention of 1824) was signed in St. Petersburg between representatives of Russia and the United States on April 17, 1824. The accord contained six articles. It gave Russian claims on the Pacific Northwest coast of North America south of parallel 54°40′ north (over what Americans had known as the Oregon Country) to the United States.",Russia,1824,no,,,
Death of Alexander I,"With his mental health deteriorating, Alexander grew increasingly suspicious of those around him, more withdrawn, more religious, and more passive. In the autumn of 1825 the Emperor undertook a voyage to the south of Russia due to the increasing illness of his wife. During his trip he himself caught typhus, from which he died in the southern city of Taganrog on 19 November 1825. However, his death wouldn't fully be known until December, due to Taganrog being far from the capital or any other large city. His two brothers disputed who would become tsar—each wanted the other to do so. There are many rumours and legends, of which the most often told claimed that he did not die but rather became a Siberian hermit named Feodor Kuzmich. Historians reject the legends, but popular writers resurrect them often.",Russia,1825,no,,,
Decembrist Revolt,"The Decembrist Revolt took place in Russia on 26 December 1825, following the sudden death of Emperor Alexander I. Alexander's heir-presumptive, Konstantin, had privately declined the succession, unknown to the court, and his younger brother Nicholas ascended the throne as Emperor Nicholas I. While some of the army had sworn loyalty to Nicholas, a force of about 3,000 troops tried to mount a military coup in favour of Konstantin. The rebels, although weakened by dissension between their leaders, confronted the loyalists outside the Senate building in the presence of a large crowd. In the confusion, the Emperor's envoy, Mikhail Miloradovich, was assassinated. Eventually, the loyalists opened fire with heavy artillery, which scattered the rebels. Many were sentenced to hanging, prison, or exile to Siberia. The conspirators became known as the Decembrists.",Russia,1825,yes,,,
Russo-Persian War (1826–1828),"Persia began hostilities in the hope of revisiting the results of the war of 1804–1813. At first, the small Russian troops were forced to retreat, but in September 1826 a turning point came. The Russians launched a counteroffensive, took Erivan, Tabriz, and in January 1828 opened their way to Tehran. The war ended with the signing of the Turkmanchay peace treaty, according to which Persia confirmed all the conditions of the Gulistan peace of 1813, recognized the transfer of the Erivan and Nakhichevan khanates to Russia and paid Russia a large indemnity.",Russia,1826,yes,,,
Treaty of London (1827),"The Treaty of London was signed on the 6 July 1827 by Great Britain, France and Russia. The three main European powers had called upon Greece and the Ottoman Empire to cease hostilities that had been going on since the Greeks revolted against the Ottoman rule on 17 March 1821. After years of negotiation, the European allied powers had finally decided to intervene in the war on the side of the Greeks.",Russia,1827,no,,,
Russo-Turkish War (1828–1829),"The Russo-Turkish War of 1828–1829 was sparked by the Greek War of Independence of 1821–1829. War broke out after the Ottoman Sultan Mahmud II closed the Dardanelles to Russian ships and revoked the 1826 Akkerman Convention in retaliation for Russian participation in October 1827 in the Battle of Navarino. As a result of the war, the Treaty of Adrianople was signed, ceding the eastern shore of the Black Sea and the mouth of the Danube to the Russians.",Russia,1828,yes,,,
Discovery of non-Euclidean geometry,"The discovery of non-Euclidean geometry took significant strides in the early 19th century. Carl Friedrich Gauss and Ferdinand Karl Schweikart independently developed ideas of non-Euclidean geometry around 1813 and 1818 respectively, but did not publish their findings. However, in 1829-1830, the Russian mathematician Nikolai Ivanovich Lobachevsky and in 1832, the Hungarian mathematician János Bolyai separately published treatises on hyperbolic geometry. Lobachevsky and Bolyai are considered the foundational figures of non-Euclidean geometry, with hyperbolic geometry often referred to as Lobachevskian or Bolyai-Lobachevskian geometry.",Russia,1829,no,,,
November Uprising,"The November Uprising (1830–31) was an armed rebellion in the heartland of partitioned Poland against the Russian Empire. The uprising began on 29 November 1830 in Warsaw when young Polish officers from the military academy of the Army of Congress Poland revolted, led by Lieutenant Piotr Wysocki. Large segments of the peoples of Lithuania, Belarus, and Right-bank Ukraine soon joined the uprising. Although the insurgents achieved local successes, a numerically superior Imperial Russian Army under Ivan Paskevich eventually crushed the uprising.",Russia,1830,yes,,,
Battle of Warsaw (1831),"The Battle of Warsaw was fought in September 1831 between Imperial Russia and Poland. After a two-day assault on the city's western fortifications, the Polish defenses collapsed and the city was evacuated. It was the largest battle and the final episode of the Polish–Russian War of 1830–31, a conflict that became better known as the November Uprising.",Russia,1831,no,,,
The Digest of Laws of the Russian Empire is published,"The Digest of Laws of the Russian Empire is the official publication of the current legislative acts of the Russian Empire, arranged in thematic order, prepared by the Second Department under the leadership of M. M. Speransky at the beginning of the Nikolaev era and reprinted in whole or in part until the October Revolution of 1918. It consisted of fifteen volumes, including, among other things, fundamental laws , legislation on provincial institutions , state finances , state rights , acts in the regional administrative law , civil and criminal laws , as well as indexes, supporting materials and other reference apparatus.",Russia,1832,no,,,
Sale of serfs at auctions prohibited,The year saw prohibition of sale of serfs at public auctions.,Russia,1833,no,,,
Treaty of Hünkâr İskelesi,"The Treaty of Hünkâr İskelesi was a treaty signed between the Russian Empire and the Ottoman Empire on July 8, 1833, following the military aid of Russia against Mehmed Ali that same year. The treaty brought about an alliance between the two powers, as well as a guarantee that the Ottomans would close the Dardanelles to any foreign warships if the Russians requested such action.",Russia,1833,no,,,
Caucasian Imamate under Imam Shamil’s leadership in 1834-1859,"Imam Shamil ruled the Caucasian Imamate from 1834 to 1859, making him the most prominent leader in its history. He aimed to unite and strengthen the Muslim tribes of the region. Despite seeking British support during the ""Great Game,"" no official assistance was received. Shamil successfully conquered the Western Muslim tribes, transforming fragmented villages into a unified country. However, this came at a great cost, with significant casualties suffered, such as in the Siege of Akhoulgo in 1839. In 1859, Emperor Alexander II of Russia offered Shamil a peaceful surrender, signaling the end of the Caucasian Imamate. Nonetheless, fighting in the region continued even after Shamil's surrender.",Russia,1834,no,,,
Statute on Jews of 1835,"In 1835, a new ""Statute on Jews"" was approved by the Emperor. According to this law, Jews in Belarus were only permitted to reside in cities, while in Malorissiya they were allowed to live everywhere except in Kiev and villages owned by the state treasury. In Novorossiya, Jews could reside in all settlements except for Nikolaev and Sevastopol. In the Baltic provinces, only native-born Jews were allowed to live. Jews were prohibited from resettling in a 50-verst border zone. In the internal provinces, Jews were allowed to stay for no more than six weeks with passports issued by governors, on the condition of wearing Russian clothing.",Russia,1835,no,,,
Chaadaev’s Letters published,"Chaadaev's Letters were a series of philosophical and critical essays written by Russian philosopher and intellectual, Pyotr Chaadaev, in the 19th century. In these letters, Chaadaev expressed his deep dissatisfaction with the state of Russian society, culture, and intellectual development. He harshly criticized Russia's historical trajectory, its adherence to autocracy, and its isolation from Western intellectual and cultural movements. Chaadaev argued that Russia had failed to contribute meaningfully to human progress and had been left behind by more advanced Western societies. The publication of Chaadaev's Letters in 1836 caused a considerable uproar and led to his being declared insane by the authorities, subsequently leading to his confinement in a mental institution for the remainder of his life. Despite this, Chaadaev's Letters had a profound impact on subsequent generations of Russian intellectuals and played a significant role in shaping the course of Russian philosophical and cultural thought.",Russia,1836,no,,,
1st railroad in Russia,"In the early 1830s Russian inventors father and son Cherepanovs built the first Russian steam locomotive. The first railway line was built in Russia in 1837 between Saint-Petersburg and Tsarskoye Selo, and called the Tsarskoye Selo Railway. It was 27 km long and linked the Imperial Palaces at Tsarskoye Selo and Pavlovsk. Track gauge was 6 feet (1830 mm). This railway has been described as a ""toy"" railway, as it had no economic, political or social impact on the Russian Empire.",Russia,1837,no,,,
Ministry of State Property founded,"The Ministry of State Property (opened in 1837-1838) was the ministry in the government of the Russian Empire which controlled government-owned lands and any other government property, especially farms and agricultural land, and prior to the abolition of serfdom, the government peasants that worked the lands. In each province, Chambers of State Property were formed, and peasant self-government was introduced in the countryside. The poll tax was replaced by a land tax. Hospitals, schools, churches began to be built in the villages.",Russia,1838,no,,,
Siege of Akhoulgo (Caucasian war),"In 1839, Shamil, along with approximately 4,000 of his followers, faced a siege in their mountain stronghold of Akhoulgo in the Caucasus region. The Russian army, led by General Pavel Grabbe, faced challenges due to the difficult terrain and lack of supplies caused by Shamil's scorched-earth tactics. After negotiations failed, the Russian army attacked the stronghold, and after two days of fighting, they were successful in securing it. However, Shamil managed to escape during the first night of the attack. Despite this setback, Shamil regrouped in Chechnya and quickly gained influence over the local clans, while many Dagestani and Chechen chieftains pledged loyalty to the Tsar.",Russia,1839,no,,,
Convention of London (1840),"The Convention of London of 1840 was a treaty with the title of Convention for the Pacification of the Levant, signed on 15 July 1840 between the Great Powers of United Kingdom, Austria, Prussia, Russia on one hand and the Ottoman Empire on the other. The Convention lent some support to the Ottoman Empire, which was having difficulties with its Egyptian possessions.",Russia,1840,no,,,
Ban of sale of serfs,Russian nobles banned from selling serfs.,Russia,1841,no,,,
Decree on obliged peasants,"“Obliged peasants"" were former serfs in Russia who transitioned into contractual relations with landowners based on the decree of April 2 (14), 1842. The decree was the result of the work of a secret committee established on November 10, 1839, to determine the conditions for the emancipation of peasants, independent of the decree on free agricultural laborers. According to the agreement between landowners and peasants, approved by the government, the peasants gained personal freedom. Landowners retained the right to estate police. The land remained in the ownership of the landowner, who provided the peasants with a plot of land in exchange for a ""proportional"" rent or labor services. There were no limitations on the authority of landowners. It was not obligatory for landowners to enter into such agreements.",Russia,1842,no,,,
Shamil regains Dagestan,"In 1843, Shamil, the leader of the resistance in the Caucasus, managed to regain control of Dagestan. He had built a strong army of mounted warriors known as murtazeks. Accompanied by his personal executioner, he exerted pressure on the non-combatants caught between the opposing sides. Shamil coordinated a strategic movement with his allies, reaching Untsukul with a united force of 10,000 men, catching the Russians off guard. Local Russian garrisons rushed to respond but suffered heavy losses, while Shamil held every Russian fort in the region except the capital. Despite the Russians' attempts to reinforce their positions, Shamil tactically withdrew to Dylym.",Russia,1843,no,,,
Dagestan stabilized,"In late 1843, Tsar Nicholas ordered Neidhardt to disperse Shamil's forces and establish Russian control over the mountains. A significant military force consisting of 26 battalions and four Cossack regiments was sent for this purpose. The murid fighters were pushed back from the Caspian coast, and several victories were achieved by the Russian forces. Passek emerged triumphant at Gilli, defeating a large murid force, while Argutinsky secured a victory on the upper Samur River. Shamil suffered defeats at Akusha, and an attack on Tilitl failed. Shamil's brutal actions, including a massacre in the village of Tsonteri, intensified the conflict. Additionally, Daniel Beg, the Sultan of Elisu, revolted against Russian attempts to limit his power, leading to further unrest in southern Dagestan. Although progress was made in fortifying Vozdvizhenskoye on the Argun River, by the year's end, the frontiers were stabilized without significant overall achievements.",Russia,1844,no,,,
Establishment of Russian Geographical Society,"The Russian Geographical Society, founded in August of 1845, is a learned society based in Saint Petersburg, Russia. It promotes geography, exploration and nature protection with research programs in fields including oceanography[citation needed], ethnography, ecology and statistics.",Russia,1845,no,,,
Invention of oil well drilling,"In 1846, Baku (settlement Bibi-Heybat) the first ever well was drilled with percussion tools to a depth of 21 metres (69 ft) for oil exploration. In 1846–1848, the first modern oil wells were drilled on the Absheron Peninsula north-east of Baku, by Russian engineer Vasily Semyonov considering the ideas of Nikolay Voskoboynikov.",Russia,1846,no,,,
Regulation on the Governance of the Kalmyk People,"On April 23, 1847, Nicholas I signed a new ""Regulation on the Governance of the Kalmyk People,"" according to which Kalmykia remained within the framework of the Ministry of State Property, and the Kalmyks became full-fledged subjects of the Russian state. Religious freedom was granted, allowing for the conversion of religion. Kalmyks who embraced Orthodoxy acquired the status of state peasants.",Russia,1847,no,,,
French revolution of 1848,"On March 26, 1848, Emperor Nicholas I issued a manifesto in response to the February Revolution in Paris and the revolutionary uprising in Vienna, asserting that Russia remains unaffected by revolutionary influences. The revolution in France and the spread of unrest in neighboring countries troubled Nicholas, leading him to sever diplomatic relations with France. In his manifesto, Nicholas vowed to defend Russia's honor and borders, invoking the example of Orthodox ancestors and proclaiming, ""With us is God, understand, you nations, and submit, for God is with us.""",Russia,1848,no,,,
Russian Intervention and the Hungarian Revolution of 1848,"In early July 1849, the Russian army under the command of Field Marshal I.F. Paskevich entered the territory of Hungary to help the Austrian Empire suppress the Hungarian Revolution of 1848-1849. In the autumn, having fully fulfilled their allied obligations, the Russian troops left Hungary.",Russia,1849,no,,,
"Unsanctioned founding of Nikolaevsk, first Russian settlement in Amur River’s mouth","In 1849, Nevelskoy journeyed to the capital after handing over the ship ""Baikal"" in Okhotsk. His proposal to establish a settlement at the Amur River mouth in 1850 was unsupported, but he was assigned to establish a wintering site in the Bay of Happiness. Nevelskoy founded Petrovskoye Wintering there and, defying orders, also established the Nikolayevsk Post at the Amur River mouth. Emperor Nicholas I praised his actions as patriotic and awarded him the Order of St. Vladimir, event though initially government circles expressed dissatisfaction.",Russia,1850,no,,,
Railroad connecting St.Petersburg with Moscow,"The first railroad between St. Petersburg and Moscow, known as the Moscow-St. Petersburg Railway, was opened in 1851. It was a significant milestone in Russian transportation history and played a crucial role in connecting the two major cities, promoting trade, and facilitating travel and communication between them.",Russia,1851,no,,,
Admiral Putyatin’s mission to Japan,"In 1852, the Imperial Russian government decided to establish diplomatic relations with Japan. Grand Duke Konstantin Nikolayevich supported Admiral Putyatin's plan to strengthen Russia's position in the Pacific Ocean. The urgency to organize the expedition arose from the fact that an American squadron led by Matthew Perry was preparing to negotiate a trade agreement with Japan. The country that would break Japan's long-standing policy of isolation, known as sakoku, would secure the most favorable trading conditions.",Russia,1852,no,,,
Crimean War,"The Crimean War took place from 1853 to 1856 and involved multiple countries and alliances. It was primarily fought between the Russian Empire on one side and an alliance of the Ottoman Empire, France, Britain, and Sardinia on the other. The war was triggered by a dispute over religious rights in the Holy Land and the protection of Christian minorities in the Ottoman Empire. It quickly escalated into a broader conflict that encompassed battles on the Crimean Peninsula, the Black Sea, and the Caucasus region. The war saw significant military advancements, including the use of railways, telegraphs, and modern weaponry. The conflict ended with the Treaty of Paris in 1856, which confirmed the integrity of the Ottoman Empire and led to territorial adjustments and diplomatic changes in Europe. The Crimean War had far-reaching consequences, such as weakening the Russian Empire, contributing to the decline of the Ottoman Empire, and setting the stage for future conflicts in Europe.",Russia,1853,no,,,
"UK and France join Crimean War, Austria threatens","Nicholas felt that because of Russian assistance in suppressing the Hungarian revolution of 1848, Austria would side with him or at the very least remain neutral. Austria, however, felt threatened by the Russian troops in the Balkans. On 27 February 1854, the United Kingdom and France demanded the withdrawal of Russian forces from the principalities. Austria supported them and, without declaring war on Russia, refused to guarantee its neutrality. Russia's rejection of the ultimatum proved to be the justification used by Britain and France to enter the war.",Russia,1854,no,,,
Kingdom of Sardinia joins Crimean War,"By 1855, the Italian Kingdom of Sardinia sent an expeditionary force to Crimea sided with France, Britain and the Ottoman Empire. The front settled into the siege of Sevastopol, involving brutal conditions for troops on both sides.",Russia,1855,no,,,
Death of Nicholas I,"Nicholas died on 2 March 1855, during the Crimean War, at the Winter Palace in St. Petersburg. He caught a chill, refused medical treatment and died of pneumonia, although there were rumors he was committing a passive suicide by refusing treatment. He reigned for 30 years, and was succeeded by his son Alexander II.",Russia,1855,yes,,,
Treaty of Paris (1856),"The Treaty of Paris of 1856 brought an end to the Crimean War between the Russian Empire and an alliance of the Ottoman Empire, the United Kingdom, the Second French Empire and the Kingdom of Sardinia. The treaty, signed on 30 March 1856 at the Congress of Paris, made the Black Sea neutral territory, closing it to all warships and prohibiting fortifications and the presence of armaments on its shores. The treaty diminished Russian influence in the region. Conditions for the return of Sevastopol and other towns and cities in the south of Crimea to Russia were severe since no naval or military arsenal could be established by Russia on the coast of the Black Sea.",Russia,1856,no,,,
Abolishing of military settlements,"Military settlements represented a special organization of the Russian military forces in 1810–1857, which allowed the combination of military service and agricultural employment.",Russia,1857,no,,,
Treaty of Aigun,"The Treaty of Aigun was an 1858 treaty between the Russian Empire and the Qing dynasty that established much of the modern border between the Russian Far East and China. Negotiations began after China was threatened with war on a second front by Governor-General of the Far East Nikolay Muraviev when China was suppressing the Taiping Rebellion. Russia received over 600,000 square kilometers (231,660 sq mi) of Outer Manchuria.",Russia,1858,no,,,
1859–1864 - the end of the Caucasian war,"The Caucasian war is called the actions of Russian troops in the North Caucasus during the annexation of the region to the Russian Empire. The period of the Caucasian War from 1834 to 1859, when Imam Shamil was the leader of the highlanders, is considered the most intense. In 1859, during the assault on the village of Gunib, Shamil surrendered, after which the resistance of the highlanders began to decline. In 1864, with the capture of the Kbaada tract, the war ended.",Russia,1859,no,,,
Convention of Peking,"Beijing Treaty between the Russian Empire and the Qing Empire. The agreement confirmed the Russian-Chinese border along the Amur River, determined by the Aigun Treaty. The border from the confluence of the Ussuri into the Amur was drawn in such a way that the Ussuri Territory departed to Russia. Residents of border areas were allowed free barter. Russian merchants in China and Chinese in Russia received ""special protection from both governments.”",Russia,1860,no,,,
Invention of Russian salad (Olivier),"Olivier salad is a traditional salad dish in Russian cuisine, which is also popular in other post-Soviet countries and around the world. The original version of the salad was invented in the 1860s in Russia by a cook of Belgian origin, Lucien Olivier, the chef of the Hermitage, one of Moscow's most celebrated restaurants. Olivier's salad quickly became immensely popular, and became the restaurant's signature dish.",Russia,1860,no,,,
Emancipation reform of 1861,The emancipation reform of 1861 in Russia was the first and most important of the liberal reforms enacted during the reign (1855–1881) of Emperor Alexander II of Russia. The reform effectively abolished serfdom throughout the Russian Empire.,Russia,1861,yes,,,
