title,description,country,year,important,keywords,link,image
Ferdinand VII's Deposition in 1808,"Ferdinand VII, the King of Spain, was dethroned on March 19, 1808, amidst the chaos of the Napoleonic invasion of Spain. This significant event marked a turning point in Spanish history, leading to a series of power struggles, political upheavals, and changes in governance. Ferdinand's deposition initiated the Peninsular War, a protracted conflict between the Spanish forces and the French army under Napoleon's command. The dethronement of Ferdinand VII set in motion a period of uncertainty and instability in Spain, shaping the course of political developments and influencing the struggles for independence in various Spanish colonies, including Argentina.",Argentina,1808,no,,,
Opening of Buenos Aires Port to Foreign Trade (1809),"In 1809, Viceroy Cisneros implemented the ""Reglamento de Libre Comercio,"" a provisional regulation that allowed foreign trade in the port of Buenos Aires. This policy shift opened up opportunities for international commerce and marked a departure from the previously restrictive trade policies imposed by Spain. The opening of the port facilitated economic growth, increased access to global markets, and laid the foundation for future trade reforms in Argentina.",Argentina,1809,no,,,
"May Revolution (May 25, 1810)","The May Revolution in Buenos Aires, which took place on May 25, 1810, established the Primera Junta (First Junta) and marked the beginning of Argentina's struggle for independence. The Primera Junta served as the first autonomous government body in Argentina and played a pivotal role in guiding the nation towards self-governance and eventual independence in 1816.",Argentina,1810,yes,,,
Argentine War of Independence (1810-1818),"The Argentine War of Independence (1810-1818) was a series of conflicts fought in the Viceroyalty of the Río de la Plata against Spanish colonial rule. Sparked by the May Revolution of 1810, it saw leaders like José de San Martín and Manuel Belgrano leading armies against Spanish royalists. The war culminated in Argentina's declaration of independence in 1816, marking a significant milestone in the country's liberation from Spanish control and the beginning of a new era of self-governance.",Argentina,1810,yes,,,
First Triumvirate (1811-1812): Argentina's Path to Self-Governance and Independence,"The First Triumvirate in the Viceroyalty of the Río de la Plata was formed on September 23, 1811, and lasted until October 8, 1812. It was a governing body consisting of three members: Feliciano Chiclana, Manuel de Sarratea, and Juan José Paso. The First Triumvirate played a significant role in the early stages of Argentina's struggle for independence and in shaping the political landscape of the region.",Argentina,1811,no,,,
1812-1814: The Second Triumvirate,"The Second Triumvirate, serving from 1812 to 1814, played a crucial role in Argentina's path towards independence. Comprised of notable figures such as Juan José Paso, Nicolás Rodríguez Peña, and Antonio Álvarez Jonte, the Triumvirate served as a provisional government during a turbulent period of the Argentine War of Independence. Faced with internal divisions and external challenges, the Second Triumvirate worked to consolidate revolutionary efforts and maintain stability. Though its tenure was relatively short, the decisions made during this time contributed to the ultimate victory for independence and laid the foundation for Argentina's future as a sovereign nation.",Argentina,1812,no,,,
1812: San Martín's Return to Argentina Ignites the Flame of Independence,"José de San Martín returned to Argentina in 1812, after his time in Spain, bringing with him invaluable military experience and an unwavering commitment to the cause of independence. His arrival proved to be a transformative catalyst, breathing new life into the revolutionary movement and propelling Argentina forward on its path to liberation. Through his exceptional leadership, San Martín played a pivotal role in galvanizing the fight for independence in Argentina.",Argentina,1812,no,,,
"Revolution of October 8, 1812: Paving the Way for Argentine Independence","The Revolution of October 8, 1812 (Spanish: Revolución del 8 de octubre de 1812) took place during the Argentine War of Independence. Led by José de San Martín and Carlos María de Alvear, it deposed the First Triumvirate and allowed the creation of the Second Triumvirate, which called the Assembly of Year XIII.",Argentina,1812,no,,,
Invention of the Flag of Argentina,"The Flag of Argentina, also known as the ""Flag of the Sun,"" was created by General Manuel Belgrano during the Argentine War of Independence. On February 27, 1812, Belgrano designed and raised the flag for the first time. It features three horizontal stripes of light blue and white, representing the clear skies and purity of ideals. At its center is the radiant Sun of May emblem, symbolizing the nation's newfound independence and hope. The flag quickly became a powerful national symbol, representing the unity, pride, and aspirations of the Argentine people.",Argentina,1812,no,,,
Assembly of the Year XIII,"The Assembly of the Year XIII, also known as the Asamblea del Año XIII, was a significant political event that took place in Argentina during the early years of its struggle for independence. Convened on January 31, 1813, in Buenos Aires, the assembly aimed to address critical issues facing the region and establish a framework for governance. Comprised of representatives from different provinces, the assembly debated and passed important resolutions, including the abolition of slavery, the promotion of education, the adoption of a national flag, and the establishment of a national anthem. These measures marked important milestones in Argentina's journey towards independence and the shaping of its national identity. The Assembly of the Year XIII played a pivotal role in laying the foundations for the future development of Argentina as a sovereign nation.",Argentina,1813,no,,,
King Ferdinand's Return: Impact on Argentina's Political Landscape (1814),"The year 1814 in Argentina witnessed the significant return of Ferdinand VII to the throne in Spain, which had a profound impact on the country's political landscape. Ferdinand's reinstatement ignited a complex set of reactions and divisions within Argentina's society. Some embraced his return, seeing it as an opportunity for stability and loyalty to the Spanish monarchy. Meanwhile, others viewed it as a setback to their aspirations for independence and self-governance. The conflicting loyalties and diverging political ideologies set the stage for intense debates and power struggles that would shape Argentina's path towards independence in the following years.",Argentina,1814,no,,,
Argentina's Crisis of 1815,"The year 1815 in Argentina was marked by internal strife, political fragmentation, and a quest for regional autonomy. The country faced economic challenges, witnessed revolts against Buenos Aires' authority, and saw the emergence of provincial proto-states. Despite these difficulties, the determination for independence persisted, ultimately leading Argentina closer to its goal of nationhood.  The events of 1815 set the stage for the Congress of Tucumán, which would take place the following year. This congress brought together representatives from different provinces to officially declare independence from Spain and establish Argentina as a sovereign nation.",Argentina,1815,no,,,
"Argentine Declaration of Independence (July 9, 1816)","On this day, the Congress of Tucumán officially declared Argentina's independence from Spain (In reality, the congressmen who were assembled in Tucumán declared the independence of the United Provinces of South America, which is one of the official names of the Argentine Republic). This event solidified Argentina's sovereignty and laid the foundation for the development of a new nation. It remains a pivotal moment in Argentine history and is commemorated as Argentina's Independence Day. ",Argentina,1816,yes,,,
Congress of Tucumán,"The Congress of Tucumán was a sovereign assembly that at the same time served as a court, legislative and constituent power . It was called by an agreement established in the Statute of 1815 and held sessions in two different places: from March 24, 1816 to January 16, 1817, it did so in the city of San Miguel de Tucumán , and later in the city of Buenos Aires. , between May 12, 1817 and February 11, 1820.",Argentina,1816,yes,,,
Portuguese conquest of the Banda Oriental,"The Portuguese conquest of the Banda Oriental was the armed-conflict that took place between 1816 and 1820 in the Banda Oriental, for control of what today comprises the whole of the Republic of Uruguay, the northern part of the Argentine Mesopotamia and southern Brazil. The four-year armed-conflict resulted in the annexation of the Banda Oriental into the United Kingdom of Portugal, Brazil and the Algarves as the Brazilian province of Cisplatina.",Argentina,1816,no,,,
1817: Battle of Chacabuco - Decisive Triumph for Chilean Independence,"In 1817, José de San Martín's forces achieved a resounding victory over the Spanish royalist army in the Battle of Chacabuco (present-day Chile). This triumph secured Chile's liberation from Spanish control and established San Martín as a formidable military strategist and leader.",Argentina,1817,no,,,
1817: Crossing of the Andes - Defying Nature's Obstacles for Freedom,"In 1817, San Martín led his army in the daring Crossing of the Andes, traversing treacherous mountainous terrain to reach Chile. This audacious feat showcased San Martín's military acumen and contributed significantly to the liberation of Chile from Spanish rule.",Argentina,1817,no,,,
1818: Battle of Maipú,"San Martín's forces achieved a decisive victory over Spanish royalist forces in Chile, solidifying Chilean independence.",Argentina,1818,no,,,
1819-1822: San Martín's Plan for Peru,"San Martín formulated a plan to liberate Peru from Spanish control, which included strategic preparations and campaigns. ",Argentina,1819,no,,,
Argentine Constitution of 1819,"The Argentine Constitution of 1819 was a Constitution drafted by the Congress of Tucumán in 1819, shortly after the Argentine War of Independence. It was promoted by Buenos Aires but rejected by the other provinces and did not come into force.",Argentina,1819,yes,,,
Anarchy of the Year XX in Argentina,"The Anarchy of the Year XX, spanning from 1819 to 1820, was a tumultuous period in Argentina characterized by political instability and a lack of centralized governance. It was marked by a power vacuum that led to social unrest, regional rivalries, and frequent changes in leadership. With no strong central authority, Argentina faced a fragmented political landscape, as various provinces and factions competed for power. This period of anarchy was a significant challenge for Argentina's aspirations of establishing a unified and stable government, and it remains an important chapter in the country's history.",Argentina,1820,no,,,
Battle of Cepeda (1820),"The Battle of Cepeda was a significant military confrontation that took place on February 1-2, 1820, near the town of Cepeda in Argentina. It marked a pivotal moment in Argentine history and the culmination of the ongoing power struggle between centralist and federalist factions following the country's declaration of independence. The battle resulted in a decisive victory for the federalist forces led by caudillos Estanislao López and Francisco Ramírez over the centralist army commanded by José Rondeau. The outcome of the battle led to the collapse of the centralist government and the establishment of a federal system in Argentina, setting the stage for subsequent political developments and shaping the country's future path.",Argentina,1820,no,,,
Founding of the University of Buenos Aires: A Milestone in Education,"The founding of the University of Buenos Aires (UBA) on August 12, 1821 marked a significant milestone in the realm of education. This esteemed institution, located in the heart of Buenos Aires, has since become a pillar of academic excellence in Argentina and Latin America. Explore the historical significance of UBA's establishment, which laid the foundation for generations of students to pursue higher education, engage in groundbreaking research, and shape the intellectual landscape of the nation.",Argentina,1821,no,,,
"Construction of the Buenos Aires Metropolitan Cathedral (April 16, 1822)","The construction of the Buenos Aires Metropolitan Cathedral began in 1752 and was completed in 1822. The cathedral serves as an important religious and cultural landmark in Argentina, reflecting the country's historical ties to Catholicism. Today, it stands as an iconic symbol of Argentina's heritage and architectural prowess.",Argentina,1822,no,,,
Revolution of the Apostolics,"In 1822, Bernardino Rivadavia, the minister of the province of Buenos Aires, implemented a series of reformist decrees known as the Law of Ecclesiastical Reform. These reforms mainly targeted religious orders, leading to the closure of several convents and the seizure of their assets. The law abolished tithes and imposed regulations on the number of religious members in each convent. On March 19, 1823, a revolt known as the Revolution of the Apostolics erupted in response to these reforms. Led by Gregorio García de Tagle, the revolt aimed to defend the assets of the Catholic Church in Argentina. The rebels, including notable individuals such as Domingo Achega and Mariano Benito Rolón, attacked the fort but were ultimately dispersed by government forces. Many of the revolt's leaders were captured, executed, or subjected to severe punishments.",Argentina,1823,no,,,
1824: Battle of Ayacucho,"A decisive battle in Peru where the combined forces of Argentina, Peru, and other South American nations defeated the Spanish, effectively ending Spanish colonial rule in South America.",Argentina,1824,no,,,
The General Congress of 1824: Shaping Argentina's Constitution,"In 1824, the General Congress of the United Provinces of the Río de la Plata was convened with the aim of drafting a constitution for the newly formed nation. The congress brought together representatives from various political factions, including the unitarios and federales. However, their differing ideologies and interests created challenges during the constitution-making process.",Argentina,1824,yes,,,
Argentina-Brazil War 1825-1828,"The Cisplatine War, also known as the Argentine-Brazilian War or, in Argentine and Uruguayan historiography, as the Brazil War, or the Liberating Crusade in Uruguay, was an armed conflict in the 1820s between the United Provinces of the Río de la Plata and the Empire of Brazil over Brazil's Cisplatina province, in the aftermath of the United Provinces' and Brazil's independence from Spain and Portugal. It resulted in the independence of Cisplatina as the Oriental Republic of Uruguay.",Argentina,1825,yes,,,
Argentine Constitution of 1826,"The Argentine Constitution of 1826 was a short-lived Constitution of Argentina drafted during the Argentine Civil Wars. Bernardino Rivadavia was appointed President of Argentina under this constitution. It was rejected by most Argentine provinces, and then abolished.",Argentina,1826,no,,,
1st Argentine President - Bernardino Rivadavia,"The presidency of Bernardino Rivadavia in Argentina, which lasted from 1826 to 1827, was a period of significant political and administrative changes. Rivadavia aimed to modernize the country and consolidate power in the national government. His presidency was marked by a series of reforms known as the ""Rivadavian reforms.""",Argentina,1826,yes,,,
Battle of Ituzaingó,"The Battle of Ituzaingó, fought on February 20, 1827, between the Argentine and Brazilian armies, was a significant engagement during the conflicts in the Banda Oriental. Led by General Carlos María de Alvear, the Republican Army successfully repelled the offensive launched by General Felisberto Caldeira Brant, the Marquis of Barbacena. Although the battle did not result in a decisive strategic gain for either side, it marked a tactical victory for the Republicans, preventing Barbacena from advancing towards Buenos Aires. The war continued for another year until a peace treaty was signed in 1828, granting independence to the Brazilian Cisplatina province (Uruguay).",Argentina,1827,no,,,
Decembrist revolution,"The Decembrist revolution, also known as the Revolución decembrina, took place in the Buenos Aires Province, Argentina, in 1828. Juan Lavalle, returning with troops from the Argentine-Brazilian War, staged a coup on December 1, overthrowing Governor Manuel Dorrego and dissolving the legislature. However, Lavalle's actions reignited the Argentine Civil Wars. Rancher Juan Manuel de Rosas organized militias to oppose Lavalle and eventually removed him from power, restoring the legislature. Rosas became the governor of Buenos Aires, leading the fight against the Unitarian League. The conflict ended with the capture of José María Paz, a Unitarian leader who mistakenly thought he was among his own troops. This revolution was part of the broader Argentine Civil Wars, which pitted federalists against unitarians, and it had a significant impact on the political landscape of Argentina.",Argentina,1828,no,,,
1829-1832 - Juan Manuel de Rosas Governor of Buenos Aires,"From 1829 to 1832, Juan Manuel de Rosas served as the governor of Buenos Aires, marking his first term in office. Rosas, a prominent figure in Argentine politics, played a pivotal role in consolidating the Federal Party's power. As governor, Rosas implemented policies that favored the federalist faction and established a strong centralized government in Buenos Aires.",Argentina,1829,no,,,
Invention of Dulce de Leche,"There is a historical document in the National Historical Museum of Argentina that presents one version regarding the invention of dulce de leche around 1829. According to this account, it is said to have occurred during a meeting between Juan Manuel de Rosas and his political rival Juan Lavalle, who were about to sign the Pact of Cañuelas. Lavalle arrived first and, feeling exhausted, laid down on Rosas's cot and fell asleep. Meanwhile, Rosas's maid was boiling milk with sugar, known as ""lechada,"" to serve with mate (a traditional South American infused drink). When the maid discovered Lavalle sleeping on her employer's cot, she considered it disrespectful and informed the guards. Later, Rosas arrived and was not upset with Lavalle. He asked the maid for mate con leche, but she had left the milk with sugar on the stove for too long. Upon returning to fetch it, the maid found a thick substance resembling a brown color. Rosas enjoyed its taste, and it is said that he shared the sweet concoction with Lavalle while they discussed the terms of the pact. It's important to note that this is just one version among several regarding the origin of dulce de leche.",Argentina,1829,no,,,
Unitarian League: A Struggle for Power in 1830 Argentina,"In 1830, amidst the ongoing conflicts between the Unitarians and the Federalists in Argentina, the Unitarian League, also known as the Liga del Interior, emerged under the leadership of José María Paz, the governor of Córdoba province. This league aimed to unite the Unitarian provinces and challenge the dominance of the Federalists, led by Juan Manuel de Rosas. With the goal of establishing a centralized government and promoting Unitarian principles, the league faced significant obstacles, including military defeats and the stronghold of the Federalists in Buenos Aires. Nevertheless, the formation of the Liga del Interior symbolized the persistent struggle for power between the Unitarians and the Federalists, which would continue to shape Argentine politics in the years to come.",Argentina,1830,no,,,
The Federal Pact (1831),"In 1831, as a response to the Unitarian League and under the leadership of Juan Manuel de Rosas, the Litoral League emerged in Argentina. This league was formed as a result of the Federal Pact, a political agreement signed between Buenos Aires, Santa Fe, Entre Rios, and later Corrientes. The Federal Pact aimed to establish a federal system of government and strengthen the power of the provinces in relation to the central government. The formation of the Litoral League represented a significant development in the ongoing struggle for political dominance between the Unitarians and the Federalists in Argentina.",Argentina,1831,no,,,
Juan Ramón Balcarce - New Governor of Buenos Aires,"In 1832, General Juan Ramón Balcarce was elected as the new governor of Buenos Aires, replacing Juan Manuel de Rosas. This marked a transition of power within the province of Buenos Aires, which held significant influence over the rest of Argentina during this period. Juan Manuel de Rosas, who had been in power for several years, organized a military campaign known as the ""Campaign to the Desert"" (Campaña al Desierto). The Campaign to the Desert was a military expedition led by Rosas to subdue and expand control over the indigenous populations in the southern region of Argentina, specifically the Pampas and Patagonia.",Argentina,1832,no,,,
Desert Campaign (1833–34),"Juan Manuel de Rosas, during his early administration, faced challenges such as severe deficits, large public debts, and a drought that impacted the economy. He focused on improving revenue collection, reducing expenditure, and recognizing provincial autonomy in the Federal Pact. By the end of his first term, he was credited with stabilizing the political and financial situation, but faced increased opposition in the House of Representatives. During this period, ranchers began moving into territories in the south inhabited by indigenous peoples, leading to conflicts. Rosas supported the expansion into these territories and granted lands to war veterans and ranchers. He commanded an army to subdue the indigenous tribes in the region, employing a mix of generosity and force. The Desert Campaign, which lasted from 1833 to 1834, resulted in Rosas subjugating the entire region, opening up possibilities for further territorial expansion. Rosas saw the conquered territories as an opportunity for agricultural development and expressed his vision for the future growth of the nation.",Argentina,1833,yes,,,
Revolution of the Restorers,"The Revolution of the Restorers (Spanish: Revolución de los Restauradores) was a rebellion that took place in Buenos Aires in 1833. The governor Juan Ramón Balcarce was ousted from office and replaced by Juan José Viamonte. The rebellion was motivated by actions taken by Balcarce against former governor Juan Manuel de Rosas. Rosas was absent from the city by that time, but the rebellion was supported by his wife Encarnación Ezcurra. It strengthened the political power of Rosas, who would become governor a second time a short time later.",Argentina,1833,no,,,
Manuel Vicente Maza - Interim Governor of Buenos Aires 1834-1835,"In 1834, and after several potential candidates refused to take the government of the Buenos Aires Province, Maza, as president of the legislature, was designated interim governor. In February 1835 he sent Facundo Quiroga as mediator in the conflict between the governors of the provinces of Salta and Tucumán. As Quiroga was assassinated on his way back to Buenos Aires, Maza was forced to resign on March 7; Rosas once again became governor on April 13.",Argentina,1834,no,,,
Rosas Enacts the Customs Law (1835),"In 1835, during his second term as governor (1835-1852), Juan Manuel de Rosas issued the Customs Law in Argentina. This law, known as the Ley de Aduanas, aimed to regulate and control the customs duties and trade within the country. It was a significant policy measure implemented by Rosas to consolidate his power and strengthen the economic stability of Buenos Aires. The Customs Law had far-reaching implications for trade relations and revenue distribution within Argentina during this period.",Argentina,1835,no,,,
"1836 - Buenos Aires population reaches 62,000","By 1836, the city experienced significant population growth, with the number of inhabitants reaching 62,000. This growth can be attributed to various factors, including increased immigration, economic development, and urbanization. Buenos Aires was becoming an important center of trade and commerce, attracting people from different regions and countries. The growing population reflected the city's expanding influence and its emergence as a thriving urban hub in the region.",Argentina,1836,no,,,
Rosas Declares War on the Peruvian-Bolivian Confederation (1837),"In 1837, Juan Manuel de Rosas declared war on the Confederation Peruano-Boliviana after their invasion of the territories of Salta and Jujuy in Argentina. Rosas saw this invasion as a threat to the sovereignty and territorial integrity of Argentina, leading him to take military action. The conflict with the Peruvian-Bolivian Confederation demonstrated Rosas' determination to protect Argentine interests and maintain his authority as a strong leader within the region.",Argentina,1837,no,,,
The Generation of '37 and the Literary Salon (1837),"In 1837, the Generation of '37 emerged in Buenos Aires, Argentina. This group consisted of young intellectuals and former students of the Colegio de Ciencias Morales, who were deeply concerned about the state of the country. They founded the Literary Salon, a gathering that provided a platform for intellectual discussions and debates on various social, political, and cultural issues.",Argentina,1837,no,,,
Echeverría Founds the Young Argentine Generation (1838),"In 1838, Esteban Echeverría, a prominent member, established the Young Argentine Generation with a clear political intention. This generation drew inspiration from the prevailing ideals of Romanticism in Europe, which exalted national sentiment. Under the subsequent political leadership of Urquiza, their influence would be decisive in the following decades, shaping the intellectual and political landscape of Argentina.",Argentina,1838,no,,,
French Blockade of the Port of Buenos Aires and the Rio de la Plata (1838-1840),"From 1838 to 1840, France imposed a blockade on the Port of Buenos Aires and the Rio de la Plata region. This blockade had a significant impact on trade and commerce in the area, disrupting economic activities and causing hardships for the local population. The French blockade was part of the international conflicts and power struggles that affected Argentina during this period.",Argentina,1838,no,,,
The Revolt of Corrientes: A Struggle for Change against Rosas' Rule,"The 1839 revolt in Corrientes Province, also known as the Revolt of the Quebracho, was an armed uprising led by General Juan Lavalle against the government of Argentine dictator Juan Manuel de Rosas. Taking place in northeastern Argentina, the revolt aimed to overthrow Rosas and his centralist regime. Lavalle's forces, supported by local leaders and the population of Corrientes, initially gained ground, but they faced fierce opposition from Rosas' military. Despite early successes, the revolt ultimately failed, and Lavalle was forced to flee to Bolivia. The uprising demonstrated the persistent opposition to Rosas' rule and the desire for political change in Argentina.",Argentina,1839,yes,,,
La Mazorca and the Reign of Terror: Unveiling the Brutality of Argentina's Red October,"La Mazorca, also known as ""The Ear of Corn,"" was a paramilitary organization and shock group loyal to Governor Juan Manuel de Rosas in Argentina during the 1820s and 1830s. Its full name was ""Sociedad Popular Restauradora o Mazorca,"" and it was characterized by its brutality and violence in defense of the Rosas regime. La Mazorca consisted mainly of gauchos and men from the lower classes, recruited to intimidate and suppress political opponents of Rosas. In September 1840, one of the bloodiest episodes associated with La Mazorca occurred. Known as ""Red October"" (Octubre Rojo), a wave of violence erupted in the streets of Buenos Aires. Bands of armed men dressed in red ponchos, allegedly members of La Mazorca, roamed the streets, killing those they deemed as opponents of the Rosas government. Political opponents and their followers were pursued, murdered, and their homes were invaded. The Minister of Government, Felipe Arana, feared being one of the victims. However, after forty days of violence, British Ambassador Henry Mendeville intervened and asked Rosas to halt the killings. Rosas responded with offense and claimed that he would even kill his own daughter if he found her involved with the opposition. However, that same night, the repression ceased. Mendeville, who sympathized with the Rosas regime, did not want to overstate his influence but acknowledged that he only intervened when the most significant events had already taken place. The peace treaty with France had an immediate impact on the country's internal life. From that point on, La Mazorca ceased to appear on the streets.",Argentina,1840,yes,,,
Battle of Famaillá,"The Battle of Famaillá, which took place in 1841 during the Argentine Civil Wars, was a decisive clash between the Unitarios and Federales forces. Led by General Lavalle, the Unitarios sought to challenge the power of the Federalist leader Juan Manuel de Rosas. However, their campaign faced a setback as they encountered the formidable forces of General Pacheco at Famaillá. Despite their initial advancements, Lavalle's troops suffered a defeat, resulting in significant casualties. The battle marked a turning point in the conflict, solidifying Rosas' control and demonstrating the strength of the Federalist faction. The outcome of the Battle of Famaillá had lasting implications for the political landscape of Argentina and the progression of the civil wars.",Argentina,1841,no,,,
Battle of Arroyo Grande (Argentina),"The Battle of Arroyo Grande, which took place on December 6, 1842, in Entre Ríos province, Argentina, was a significant and decisive engagement during the Argentine and Uruguayan civil wars. It pitted the federal army of Buenos Aires and Entre Ríos, led by former Uruguayan president Brigadier Manuel Oribe, against a coalition of Uruguayan Colorados and Argentine Unitarians, including migrants from Buenos Aires, Corrientes, and Santa Fe, under the leadership of Brigadier Fructuoso Rivera. This battle marked the end of a violent civil war in Argentina and marked the beginning of the major conflict known as the Great War in Uruguay.",Argentina,1842,no,,,
Rosas Supports Deposed Uruguayan Leader Manuel Oribe (1843),"In 1843, Juan Manuel de Rosas provided support to his ally Manuel Oribe, who had been overthrown in the Uruguayan government. Rosas initiated a blockade of Montevideo, the capital of Uruguay, in an effort to assist Oribe's return to power. This intervention in Uruguayan affairs demonstrated Rosas' involvement in regional politics and his willingness to assert his influence beyond Argentina's borders.",Argentina,1843,no,,,
1844 Salta earthquake,"The Province of Salta, located in an area of high seismic activity, experienced a major earthquake in October 1844. The 1844 earthquake, measured at VII on the Mercalli intensity scale, affected various villages in Salta and its capital city. While it caused damage and impacted numerous families, no loss of life was reported. The earthquake also affected the neighboring provinces of Jujuy, Tucumán, and Santiago del Estero, causing damage in those areas as well. Following the initial tremor, several aftershocks were felt, and new channels were formed as cracks opened in the ground, allowing water to flow through them. The last aftershock occurred on October 27th.",Argentina,1844,no,,,
Battle of Vuelta de Obligado (1845),"The Battle of Vuelta de Obligado took place in 1845, where the Argentine Confederation suffered a defeat. Despite their loss, the conflict was costly for both England and France, prompting them to negotiate peace through the Arana-Sothern and Arana-Lepredour Treaties. Although Juan Manuel de Rosas had to make concessions in these treaties, it earned him recognition as a staunch defender of national sovereignty. This victory solidified Rosas' power within the Argentine Confederation.",Argentina,1845,no,,,
Anglo-French Blockade against Rosas (1845-1850),"From 1845 to 1850, England and France imposed a joint blockade against Juan Manuel de Rosas and the Argentine Confederation due to Rosas' blockade of the Uruguay River. The Anglo-French blockade aimed to weaken Rosas' regime and exert pressure on Argentina. The blockade had significant economic and political consequences, intensifying the ongoing conflicts and struggles for power in the region.",Argentina,1845,yes,,,
